Review,Cleaned_Review,Sentiment
This movie was absolutely amazing and inspiring.,movie absolutely amazing inspiring,Positive
I hated this movie. Waste of time.,hated movie waste time,Negative
The acting was okay but story was boring.,acting okay story boring,Negative
Fantastic visuals and excellent music!,fantastic visuals excellent music,Positive
"Not bad, but could have been much better.",bad could much better,Negative
Terrible movie with poor acting.,terrible movie poor acting,Negative
I really loved the emotional scenes.,really loved emotional scenes,Positive
"It was average, nothing special.",average nothing special,Positive
Best movie of the year!,best movie year,Positive
The plot was confusing and dull.,plot confusing dull,Negative
